sales_brand,sales_series,sales_model_samples,sales_volume,canonical_brand,canonical_series,entity_key,join_eligible,sales_source_ref,sales_key_fields,config_source_ref,config_key_fields,status,method,confidence,candidate_series,evidence
比亚迪,比亚迪秦PLUS,比亚迪秦PLUS,152547,比亚迪,秦PLUS,比亚迪::秦plus,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪秦PLUS""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""秦PLUS""}",auto_matched,series_brand_prefix_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系移除已解析品牌前缀后，经 Unicode、大小写、空格和标点归一，与同品牌配置车系精确一致。
比亚迪,比亚迪宋PLUS,比亚迪宋PLUS,134083,比亚迪,宋PLUS,比亚迪::宋plus,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪宋PLUS""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""宋PLUS""}",auto_matched,series_brand_prefix_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系移除已解析品牌前缀后，经 Unicode、大小写、空格和标点归一，与同品牌配置车系精确一致。
比亚迪,比亚迪海豚,比亚迪海豚,113926,比亚迪,海豚,比亚迪::海豚,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪海豚""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""海豚""}",auto_matched,series_brand_prefix_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系移除已解析品牌前缀后，经 Unicode、大小写、空格和标点归一，与同品牌配置车系精确一致。
比亚迪,比亚迪元PLUS,比亚迪元PLUS,104352,比亚迪,元PLUS,比亚迪::元plus,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪元PLUS""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""元PLUS""}",auto_matched,series_brand_prefix_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系移除已解析品牌前缀后，经 Unicode、大小写、空格和标点归一，与同品牌配置车系精确一致。
比亚迪,比亚迪汉,比亚迪汉,74333,比亚迪,汉,比亚迪::汉,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪汉""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""汉""}",auto_matched,series_brand_prefix_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系移除已解析品牌前缀后，经 Unicode、大小写、空格和标点归一，与同品牌配置车系精确一致。
比亚迪,比亚迪唐,比亚迪唐,57635,比亚迪,唐,比亚迪::唐,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪唐""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""唐""}",auto_matched,series_brand_prefix_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系移除已解析品牌前缀后，经 Unicode、大小写、空格和标点归一，与同品牌配置车系精确一致。
比亚迪,比亚迪宋Pro,比亚迪宋Pro,54346,比亚迪,宋Pro,比亚迪::宋pro,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪宋Pro""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""宋Pro""}",auto_matched,series_brand_prefix_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系移除已解析品牌前缀后，经 Unicode、大小写、空格和标点归一，与同品牌配置车系精确一致。
比亚迪,比亚迪秦,比亚迪秦,32498,比亚迪,秦,比亚迪::秦,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪秦""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""秦""}",auto_matched,series_brand_prefix_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系移除已解析品牌前缀后，经 Unicode、大小写、空格和标点归一，与同品牌配置车系精确一致。
比亚迪,护卫舰07,护卫舰07,25270,比亚迪,护卫舰07,比亚迪::护卫舰07,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""护卫舰07""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""护卫舰07""}",auto_matched,series_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系经 Unicode、大小写、空格和标点归一后，与同品牌配置车系精确一致。
比亚迪,比亚迪海豹,比亚迪海豹,23070,比亚迪,海豹,比亚迪::海豹,True,table_asset:tbl_73d53d94a3a29ff425235dfa,"{""品牌"": ""比亚迪"", ""1-子车型"": ""比亚迪海豹""}",dbs_77982e981bac4a6fa8,"{""brand"": ""比亚迪"", ""serial_name"": ""海豹""}",auto_matched,series_brand_prefix_normalized_exact,1.0,[],品牌规则：brand_normalized_exact | 销量车系移除已解析品牌前缀后，经 Unicode、大小写、空格和标点归一，与同品牌配置车系精确一致。
